[0.000000] (-) TimerEvent: {}
[0.000134] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000165] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000184] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000198] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000211] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000225] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000237] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000249] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000260] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000272] (-) JobUnselected: {'identifier': 'moveit'}
[0.000283] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000295] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000306] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000317] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000328] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000340] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000351] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000362] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000373] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000390] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000401] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000412] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000423] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000434] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000445] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000456] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000468] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000479] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000489] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000516] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000536] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000549] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000561] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000572] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000584] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000595] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000606] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000617] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000629] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000640] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000651] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000662] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000673] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000684] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000695] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000706] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000717] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000728] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000739] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000750] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000761] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000772] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000783] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000794] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000805] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000816] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000827] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000847] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000859] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000870] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000881] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000892] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000903] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000914] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000925] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000936] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000947] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000958] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.000969] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.000980] (-) JobUnselected: {'identifier': 'serial'}
[0.000992] (-) EventReactorShutdown: {}
