[0.000000] (-) TimerEvent: {}
[0.000267] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000299] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000316] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000330] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000342] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000355] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000366] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000377] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000388] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000398] (-) JobUnselected: {'identifier': 'moveit'}
[0.000409] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000420] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000431] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000441] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000452] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000462] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000473] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000483] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000494] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000511] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000523] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000533] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000544] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000555] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000565] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000576] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000586] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000597] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000607] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000637] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000655] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000667] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000678] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000689] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000699] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000710] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000721] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000731] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000741] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000752] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000762] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000773] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000783] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000794] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000804] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000815] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000825] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000836] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000846] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000857] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000867] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000878] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000888] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000899] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000910] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000921] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000931] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000952] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000963] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000974] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000985] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000995] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001005] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001016] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.001027] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.001037] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.001047] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.001058] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001068] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001079] (-) JobUnselected: {'identifier': 'serial'}
[0.001090] (-) EventReactorShutdown: {}
